antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.04178922248737444,0.06265608524335424,0.022698262944669517,0.5431606905710491,8.668921597342544,1.0,0.02007991385824709,2.0518022320109135,0.9232263076493028,0.27766463000678887,0.5126235928596645,0.4527140919640011
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.048615350463399744,0.051612187135801096,0.031244797158554858,0.6426940639269406,12.452370255805961,1.0,0.028735652592765316,2.6542738788148186,0.9666899756297176,0.4529364440868866,0.6232491273860111,0.624035204006481
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.051612187135801096,0.048615350463399744,0.031244797158554858,0.6053763440860215,12.45237025580596,1.0,0.028735652592765316,2.4108657331581425,0.9697446458084293,0.4529364440868866,0.5852112433113237,0.624035204006481
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03640601587213497,0.051612187135801096,0.021810311338032077,0.5990853658536586,11.607440007867822,1.0,0.019931317233970503,2.3655604761935916,0.9483749114661212,0.3294216261525566,0.5772672015517043,0.5108330055074745
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.03734946445418725,0.044619568233531276,0.02131083855929852,0.5705794947994056,12.787651637799115,1.0,0.01964432158159906,2.2248132545980392,0.9575640637610976,0.35132662397072284,0.5505240730055468,0.5240957175489566
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03734946445418725,0.050113768799600424,0.02658305122370831,0.711738484398217,14.202453765638396,1.0,0.024711328797262275,3.295223884525098,0.9656563803823783,0.4366453965360073,0.6965304831953418,0.6210962632400829
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.050113768799600424,0.03734946445418725,0.02658305122370831,0.530454042081949,14.202453765638394,1.0,0.024711328797262275,2.050173192447804,0.9786325995625574,0.4366453965360073,0.5122363302360567,0.6210962632400829
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.03734946445418725,0.03734946445418725,0.02008990510017204,0.537890044576523,14.40154637923383,1.0,0.01869492260515744,2.083163377563768,0.9666675266417083,0.3678861788617886,0.5199608389959857,0.537890044576523
frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.03734946445418725,0.03734946445418725,0.02008990510017204,0.537890044576523,14.40154637923383,1.0,0.01869492260515744,2.083163377563768,0.9666675266417083,0.3678861788617886,0.5199608389959857,0.537890044576523
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.044619568233531276,0.050113768799600424,0.026361063322048947,0.5907960199004975,11.789095772521664,1.0,0.024125008595655764,2.321302522447177,0.9579177278077563,0.38555194805194803,0.5692073780431797,0.5584101915670815
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.050113768799600424,0.044619568233531276,0.026361063322048947,0.5260243632336655,11.789095772521664,1.0,0.024125008595655764,2.01567413524561,0.963458383045719,0.38555194805194803,0.5038880628003147,0.5584101915670815
frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.03734946445418725,0.044619568233531276,0.021810311338032077,0.5839524517087666,13.087362223060031,1.0,0.020143794360332617,2.296325109210119,0.9594243959713528,0.3625461254612546,0.5645215932233671,0.5363792109290102
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.044619568233531276,0.037793440257505966,0.022920250846328875,0.5136815920398009,13.59181880611626,1.0,0.0212339238599792,1.9785526190101408,0.9696936409558926,0.38526119402985065,0.49458003270072515,0.5600713393385495
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.037793440257505966,0.044619568233531276,0.022920250846328875,0.6064610866372981,13.591818806116262,1.0,0.0212339238599792,2.427664455346885,0.962814397799959,0.38526119402985065,0.5880814591993886,0.5600713393385495
frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.03524057938842333,0.04550751984016871,0.02103335368222432,0.5968503937007874,13.115423468407913,1.0,0.019429642316526604,2.3675887691464568,0.9574966274753601,0.3522304832713755,0.5776293531074184,0.5295227578260034
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03879238581497308,0.03890337976580276,0.023641711526721794,0.609442060085837,15.665529929652921,1.0,0.022132556609340357,2.460829807852396,0.9739473213414438,0.4373716632443532,0.5936330107799225,0.6085726705564706
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03890337976580276,0.03879238581497308,0.023641711526721794,0.6077032810271041,15.66552992965292,1.0,0.022132556609340357,2.450205591068014,0.9740597993783232,0.4373716632443532,0.5918709827267545,0.6085726705564706
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03918086464287696,0.10738664742771518,0.026916033076197346,0.6869688385269122,6.397153230706166,1.0,0.022708531378879685,2.851515958896077,0.8780845809805039,0.22495361781076065,0.64930934477844,0.4688074166794768
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.03918086464287696,0.04079027692990732,0.0200344081247572,0.5113314447592068,12.535620820566187,1.0,0.018436209805621037,1.9629045347463345,0.9577529126832622,0.33425925925925926,0.4905508738206519,0.5012439536721204
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.03918086464287696,0.06287807314501359,0.02014540207558688,0.5141643059490085,8.177163838389395,1.0,0.017681784802687187,1.928886531660701,0.9134999273623429,0.24593495934959353,0.4815661867165217,0.4172763277317858
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.03918086464287696,0.06271158221876907,0.021921305288861756,0.5594900849858356,8.921638797663515,1.0,0.019464211274407516,2.127735122037135,0.9241208223570933,0.2741151977793199,0.5300166878654611,0.4545238035548647
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.041622731561129916,0.049836283922526224,0.03002386369942838,0.7213333333333334,14.474059391239793,1.0,0.027949541431716816,3.409678406976581,0.9713407365393246,0.4887082204155374,0.7067172088857738,0.6618916109873794
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.049836283922526224,0.041622731561129916,0.03002386369942838,0.6024498886414253,14.474059391239791,1.0,0.027949541431716816,2.4107080869974937,0.9797373505810173,0.4887082204155374,0.5851841185609962,0.6618916109873794
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05172318108663078,0.038958876741217605,0.03196625783894778,0.6180257510729613,15.86354132276879,1.0,0.02995118080233005,2.515984064261756,0.9880684145841868,0.5444234404536862,0.6025412027824502,0.7192692857928908
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.038958876741217605,0.05172318108663078,0.03196625783894778,0.8205128205128205,15.86354132276879,1.0,0.02995118080233005,5.283256562517342,0.9749451406132701,0.5444234404536862,0.8107228017101019,0.7192692857928908
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.05172318108663078,0.053055108496586935,0.03884788279038792,0.7510729613733905,14.156468296011637,1.0,0.03610370380604811,3.8041062020740557,0.9800523371987058,0.5892255892255891,0.7371261613425028,0.741645267297574
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.053055108496586935,0.05172318108663078,0.03884788279038792,0.7322175732217573,14.156468296011635,1.0,0.03610370380604811,3.541221245629613,0.981430831958875,0.5892255892255891,0.7176115439739478,0.741645267297574
